Gene ID	Gene Name	Reference	Strand	Start	End
ENSBTAG00000006708	ARIH1	10	+	19197514	19300694
ENSBTAG00000001578	ADPGK	10	-	19377402	19409943
ENSBTAG00000004990	NEO1	10	+	19795806	19959384
ENSBTAG00000045823	ENSBTAG00000045823	10	-	20196627	20196696
ENSBTAG00000008218	NPTN	10	-	20207483	20270508
ENSBTAG00000010666	KHNYN	10	-	20569774	20578425
ENSBTAG00000006366	NFATC4	10	-	20632357	20639714
ENSBTAG00000018422	RIPK3	10	+	20665546	20669690
ENSBTAG00000018419	ADCY4	10	+	20671131	20685956
ENSBTAG00000010238	LTB4R	10	-	20687230	20689253
ENSBTAG00000040056	LTB4R2	10	-	20692299	20696624
ENSBTAG00000010236	CIDEB	10	+	20695969	20698806
ENSBTAG00000010235	C10H14orf21	10	-	20698785	20704721
ENSBTAG00000010234	DHRS1	10	+	20704886	20713840
ENSBTAG00000018796	RABGGTA	10	+	20726776	20733197
ENSBTAG00000003920	TGM1	10	+	20735503	20750260
ENSBTAG00000002718	TINF2	10	+	20760139	20763063
ENSBTAG00000002715	GMPR2	10	+	20769369	20774149
ENSBTAG00000038842	NEDD8	10	+	20777431	20779257
ENSBTAG00000002712	MDP-1	10	+	20780358	20781857
ENSBTAG00000039415	CHMP4A	10	+	20782273	20785952
ENSBTAG00000002707	IPO4	10	+	20801455	20810605
ENSBTAG00000002705	REC8	10	-	20810613	20816425
ENSBTAG00000005815	ENSBTAG00000005815	10	-	20826444	20837713
ENSBTAG00000005814	PSME2	10	+	20838545	20841805
ENSBTAG00000025778	EMC9	10	+	20844420	20846694
ENSBTAG00000021395	PSME1	10	-	20846749	20849410
ENSBTAG00000021392	WDR23	10	-	20855458	20863354
ENSBTAG00000011934	PCK2	10	-	20870284	20878569
ENSBTAG00000017665	DHRS4	10	-	20922260	20934454
ENSBTAG00000045993	ENSBTAG00000045993	10	-	20960285	20960867
ENSBTAG00000030841	ENSBTAG00000030841	10	+	21008954	21009475
ENSBTAG00000007099	AP1G2	10	+	21215969	21224329
ENSBTAG00000007097	THTPA	10	-	21223286	21227253
ENSBTAG00000009595	NGDN	10	-	21296176	21303350
ENSBTAG00000006884	PABPN1	10	-	21427137	21434016
ENSBTAG00000025755	RNF212B	10	-	21466337	21494696
ENSBTAG00000007415	SLC7A8	10	+	21521555	21573888
ENSBTAG00000043704	U6	10	-	21543308	21543413
ENSBTAG00000042621	U6	10	-	21552825	21552932
ENSBTAG00000005952	CEBPE	10	+	21580449	21581861
ENSBTAG00000047027	C14orf119	10	-	21596542	21598722
ENSBTAG00000011571	ACIN1	10	+	21598911	21637359
ENSBTAG00000011349	CDH24	10	+	21640079	21648058
ENSBTAG00000012728	PSMB11	10	-	21652617	21653790
ENSBTAG00000012726	PSMB5	10	+	21658161	21663680
ENSBTAG00000012723	ENSBTAG00000012723	10	+	21725594	21732994
ENSBTAG00000010890	PRMT5	10	+	21752766	21760473
ENSBTAG00000038333	RBM23	10	+	21761720	21771723
ENSBTAG00000016378	LRP10	10	-	21786857	21792534
ENSBTAG00000014822	MRPL52	10	-	21816260	21821165
ENSBTAG00000014820	OXA1L	10	-	21864275	21879576
ENSBTAG00000009274	ENSBTAG00000009274	10	-	21994853	21995149
ENSBTAG00000025604	ENSBTAG00000025604	10	-	22015188	22015810
ENSBTAG00000047064	ENSBTAG00000047064	10	+	22018182	22018744
ENSBTAG00000047744	ENSBTAG00000047744	10	+	22038226	22038788
ENSBTAG00000019077	DAD1	10	+	22073358	22095132
ENSBTAG00000013249	SALL2	10	+	25704582	25709754
ENSBTAG00000015148	METTL3	10	+	25716677	25731504
ENSBTAG00000015146	TOX4	10	-	25731942	25747290
ENSBTAG00000044207	RAB2B	10	+	25747369	25764520
ENSBTAG00000020422	CHD8	10	+	25785915	25825625
ENSBTAG00000042579	snoU6-53	10	+	25815734	25815843
ENSBTAG00000043196	snoU6-53	10	+	25821328	25821436
ENSBTAG00000020421	SUPT16H	10	+	25827154	25861850
ENSBTAG00000004694	RPGRIP1	10	-	25862558	25917420
ENSBTAG00000011396	HNRPC	10	+	25936105	25980839
ENSBTAG00000006613	METTL17	10	-	26175323	26180969
ENSBTAG00000004950	BRN	10	+	26288223	26289852
ENSBTAG00000003769	ENSBTAG00000003769	10	-	26332080	26333873
ENSBTAG00000008793	RNASE1	10	+	26388180	26389761
ENSBTAG00000012317	PNP	10	-	26667693	26673918
ENSBTAG00000037452	ENSBTAG00000037452	10	-	26680216	26686302
ENSBTAG00000002748	TMEM55B	10	+	26702990	26706505
ENSBTAG00000002745	APEX1	10	-	26706595	26709174
ENSBTAG00000002743	OSGEP	10	+	26709552	26716112
ENSBTAG00000009374	PARP2	10	-	26799840	26814032
ENSBTAG00000044427	RNaseP_nuc	10	+	26814256	26814588
ENSBTAG00000025666	RPS29	10	-	26814899	26815069
ENSBTAG00000009372	TTC5	10	+	26841794	26858144
ENSBTAG00000047483	ENSBTAG00000047483	10	-	27081655	27082170
ENSBTAG00000020040	LPCAT4	10	+	28331829	28339111
ENSBTAG00000025632	NOP10	10	+	28351840	28355349
ENSBTAG00000016236	SLC12A6	10	+	28357075	28439037
ENSBTAG00000006416	EMC4	10	-	28441593	28445103
ENSBTAG00000006413	KATNBL1	10	+	28459345	28509712
ENSBTAG00000007385	C10H15ORF24	10	+	28548978	28564464
ENSBTAG00000044029	AVEN	10	+	28594116	28788420
ENSBTAG00000025642	RYR3	10	-	28789149	29100901
ENSBTAG00000020100	ENSBTAG00000020100	10	-	30138490	30159344
ENSBTAG00000005714	ACTC1	10	-	30361781	30367052
ENSBTAG00000012712	AQR	10	-	30432687	30514706
ENSBTAG00000001364	DPH6	10	-	30916477	31109121
ENSBTAG00000032518	SPRED1	10	+	33950024	34069008
ENSBTAG00000043481	SNORA70	10	-	33970286	33970419
ENSBTAG00000014351	EIF2AK4	10	+	35707709	35804772
ENSBTAG00000043106	U6	10	-	35726854	35726958
ENSBTAG00000014353	SRP14	10	-	35805063	35808329
ENSBTAG00000007237	BUB1B	10	+	35903021	35958915
ENSBTAG00000032340	C10H15ORF23	10	+	36117898	36127741
ENSBTAG00000004409	IVD	10	+	36140626	36152399
ENSBTAG00000002918	RAD51	10	+	36368263	36403938
ENSBTAG00000002921	RMDN3	10	-	36404114	36419370
ENSBTAG00000013480	DNAJC17	10	-	36429386	36460034
ENSBTAG00000047281	C15orf62	10	+	36431890	36432438
ENSBTAG00000004086	SPINT1	10	+	36490427	36504314
ENSBTAG00000016291	RHOV	10	-	36523869	36525354
ENSBTAG00000010371	CHAC1	10	+	36598394	36600764
ENSBTAG00000010380	INO80	10	-	36619650	36715000
ENSBTAG00000038438	ENSBTAG00000038438	10	-	36757276	36758438
ENSBTAG00000027173	CHP1	10	+	36835140	36872289
ENSBTAG00000044604	snoU89	10	+	36862418	36862608
ENSBTAG00000010766	OIP5	10	-	36896853	36905744
ENSBTAG00000010774	NUSAP1	10	+	36906002	36936265
ENSBTAG00000010778	NDUFAF1	10	-	36938124	36948842
ENSBTAG00000001671	RTF1	10	+	36980593	37025485
ENSBTAG00000015138	MGA	10	+	37193026	37281324
ENSBTAG00000014662	ENSBTAG00000014662	10	-	37206356	37206838
ENSBTAG00000046607	JMJD7	10	+	37338864	37345321
ENSBTAG00000006792	EHD4	10	-	37412316	37496211
ENSBTAG00000008863	TMEM87A	10	-	37715493	37754263
ENSBTAG00000004079	ZNF106	10	-	37890185	37941980
ENSBTAG00000005661	SNAP23	10	+	37946231	37986849
ENSBTAG00000031981	LRRC57	10	-	37989936	37995280
ENSBTAG00000005663	CEP27	10	+	37995372	38008615
ENSBTAG00000005751	CDAN1	10	-	38138863	38151656
ENSBTAG00000006470	TTBK2	10	-	38159317	38248606
ENSBTAG00000021087	UBR1	10	-	38301493	38447561
ENSBTAG00000013031	TMEM62	10	+	38473475	38507255
ENSBTAG00000013032	CCNDBP1	10	+	38507733	38518176
ENSBTAG00000011439	EPB42	10	-	38519703	38538816
ENSBTAG00000046363	ENSBTAG00000046363	10	-	38814396	38814674
ENSBTAG00000004692	ENSBTAG00000004692	10	-	38912008	38912352
ENSBTAG00000024582	RPL10L	10	-	39735371	39736135
ENSBTAG00000045661	Metazoa_SRP	10	+	42671324	42671620
ENSBTAG00000004926	PPIL5	10	+	42685930	42696776
ENSBTAG00000025564	RPL36A	10	-	42699004	42700655
ENSBTAG00000033891	MGAT2	10	+	42701307	42702665
ENSBTAG00000004930	DNAAF2	10	-	42705686	42713009
ENSBTAG00000004931	POLE2	10	-	42715368	42747213
ENSBTAG00000031697	KLHDC1	10	+	42749352	42789691
ENSBTAG00000004933	KLHDC2	10	+	42792727	42808107
ENSBTAG00000043867	SNORA11	10	-	42802648	42802775
ENSBTAG00000004934	NEMF	10	-	42809222	42862866
ENSBTAG00000047908	Metazoa_SRP	10	-	42863856	42864152
ENSBTAG00000046912	Metazoa_SRP	10	-	42877895	42878191
ENSBTAG00000045980	ARF6	10	+	42902260	42902938
ENSBTAG00000005547	VCPKMT	10	-	43089378	43094843
ENSBTAG00000043035	U6	10	-	43192080	43192186
ENSBTAG00000015200	L2HGDH	10	-	43211978	43265008
ENSBTAG00000015202	ATP5S	10	+	43265126	43277198
ENSBTAG00000014792	MAP4K5	10	-	43357139	43484579
ENSBTAG00000020281	NIN	10	-	43640454	43692975
ENSBTAG00000010103	TRIM9	10	-	43871178	43988950
ENSBTAG00000046184	ENSBTAG00000046184	10	-	43935668	43936221
ENSBTAG00000011225	TMX1	10	+	44101816	44114905
ENSBTAG00000031707	FRMD6	10	+	44342323	44615289
ENSBTAG00000003043	GNG2	10	+	44711724	44842190
ENSBTAG00000021944	C10H14ORF166	10	+	44879976	44894546
ENSBTAG00000021945	NID2	10	-	44894657	44986659
ENSBTAG00000011037	RBPMS2	10	+	45380345	45392030
ENSBTAG00000015806	OAZ2	10	+	45428932	45433129
ENSBTAG00000015808	ZNF609	10	-	45438772	45636954
ENSBTAG00000043656	SNORA19	10	-	45469221	45469348
ENSBTAG00000017641	ENSBTAG00000017641	10	+	45576118	45576862
ENSBTAG00000014493	TRIP4	10	-	45642274	45694139
ENSBTAG00000016822	PPIB	10	+	45874978	45880918
ENSBTAG00000016821	SNX22	10	-	45880896	45886880
ENSBTAG00000002014	SNX1	10	-	45899489	45936333
ENSBTAG00000043013	U6	10	-	45930448	45930554
ENSBTAG00000002012	FAM96A	10	+	45936706	45952110
ENSBTAG00000019474	HERC1	10	+	46241889	46455782
ENSBTAG00000044583	SNORD112	10	+	46360719	46360787
ENSBTAG00000010641	APH1B	10	-	46788194	46828932
ENSBTAG00000012898	RPS27L	10	+	46946054	46949421
ENSBTAG00000017373	LACTB	10	-	46962111	46979997
ENSBTAG00000005373	TPM1	10	-	47056204	47065846
ENSBTAG00000015904	RORA	10	+	48949618	49750993
ENSBTAG00000009615	ANXA2	10	+	49860062	49904536
ENSBTAG00000010298	GTF2A2	10	+	50655754	50687544
ENSBTAG00000043816	SNORA19	10	-	50657425	50657551
ENSBTAG00000005269	CCNB2	10	-	51247755	51272733
ENSBTAG00000014181	RNF111	10	-	51288677	51380159
ENSBTAG00000011319	SLTM	10	+	51410207	51453823
ENSBTAG00000005481	ADAM10	10	+	51598073	51739153
ENSBTAG00000005479	LIPC	10	-	51758913	51921260
ENSBTAG00000037226	5S_rRNA	10	-	51823326	51823444
ENSBTAG00000044518	ENSBTAG00000044518	10	+	51826400	51826528
ENSBTAG00000011764	ENSBTAG00000011764	10	-	51842778	51843501
ENSBTAG00000043926	5S_rRNA	10	-	51885645	51885757
ENSBTAG00000040384	POLR2M	10	-	52648527	52655730
ENSBTAG00000002586	TCF12	10	-	53089215	53481049
ENSBTAG00000043372	U6	10	-	53416859	53416962
ENSBTAG00000000271	MNS1	10	+	53958912	54043420
ENSBTAG00000031396	ENSBTAG00000031396	10	-	54498979	54500227
ENSBTAG00000012741	CCPG1	10	+	55001792	55028162
ENSBTAG00000030014	bta-mir-628	10	+	55017684	55017778
ENSBTAG00000012740	PIGB	10	-	55031445	55054306
ENSBTAG00000012408	RAB27A	10	+	55120522	55158773
ENSBTAG00000001342	RSL24D1	10	+	55165840	55179463
ENSBTAG00000046311	ENSBTAG00000046311	10	-	56820937	56821305
ENSBTAG00000024958	FAM214A	10	+	57828793	57912139
ENSBTAG00000011022	ARPP19	10	+	57923246	57938671
ENSBTAG00000006489	MYO5A	10	+	58026028	58152577
ENSBTAG00000044748	SNORA81	10	+	58120394	58120570
ENSBTAG00000003763	MYO5C	10	+	58176957	58278067
ENSBTAG00000003762	GNB5	10	+	58291303	58324001
ENSBTAG00000042528	U6	10	+	58356883	58356989
ENSBTAG00000005865	MAPK6	10	-	58437865	58449901
ENSBTAG00000013830	LEO1	10	+	58507402	58543453
ENSBTAG00000019601	ENSBTAG00000019601	10	-	58569062	58646799
ENSBTAG00000047868	TMOD3	10	+	58576206	58581557
ENSBTAG00000017683	LYSMD2	10	+	58731531	58744506
ENSBTAG00000011831	SPPL2A	10	+	59779604	59813156
ENSBTAG00000031165	TRPM7	10	+	59853461	59943298
ENSBTAG00000011916	USP8	10	-	59984279	60037841
ENSBTAG00000022801	GABPB1	10	+	60078424	60128552
ENSBTAG00000009911	HDC	10	-	60140538	60162731
ENSBTAG00000011936	ATP8B4	10	+	60431149	60639149
ENSBTAG00000006201	DTWD1	10	-	60913315	60924152
ENSBTAG00000013425	COPS2	10	+	61295669	61326360
ENSBTAG00000046553	SECISBP2L	10	+	61417327	61457916
ENSBTAG00000005217	ENSBTAG00000005217	10	-	61556468	61557103
ENSBTAG00000027764	EID1	10	-	61591976	61593731
ENSBTAG00000011998	DUT	10	-	62284071	62295576
ENSBTAG00000008771	MYEF2	10	+	62436178	62467099
ENSBTAG00000019879	ENSBTAG00000019879	10	+	63804151	63804644
ENSBTAG00000020934	SHF	10	+	65471177	65490132
ENSBTAG00000025496	SORD	10	-	65575408	65609640
ENSBTAG00000038327	ENSBTAG00000038327	10	+	65655784	65657656
ENSBTAG00000014501	FERMT2	10	-	65766164	65843942
ENSBTAG00000037199	5S_rRNA	10	+	65798496	65798619
ENSBTAG00000003835	BMP4	10	-	66751296	66755026
ENSBTAG00000019496	CDKN3	10	+	67155091	67171864
ENSBTAG00000019500	CNIH1	10	-	67176769	67191630
ENSBTAG00000025311	GMFB	10	-	67212808	67226749
ENSBTAG00000040151	GCH1	10	-	67576390	67631089
ENSBTAG00000019120	WDHD1	10	-	67681787	67735314
ENSBTAG00000021986	MAPK1IP1L	10	+	67756279	67765176
ENSBTAG00000002326	LGALS3	10	+	67843328	67861113
ENSBTAG00000002331	DLGAP5	10	-	67863306	67908834
ENSBTAG00000020533	FBXO34	10	+	68063635	68065776
ENSBTAG00000010795	ATG14	10	-	68073407	68110299
ENSBTAG00000017713	KTN1	10	+	68238010	68351879
ENSBTAG00000042081	Y_RNA	10	+	69424953	69425065
ENSBTAG00000014741	OTX2	10	-	69458818	69462865
ENSBTAG00000013042	EXOC5	10	-	69862217	69914486
ENSBTAG00000013043	AP5M1	10	+	69914645	69935076
ENSBTAG00000014392	ACTR10	10	+	70761697	70788174
ENSBTAG00000002808	PSMA3	10	+	70797328	70822594
ENSBTAG00000018898	ARID4A	10	+	70838970	70899184
ENSBTAG00000010503	TIMM9	10	-	70929454	70932764
ENSBTAG00000004631	KIAA0586	10	+	70945020	71078172
ENSBTAG00000005984	DAAM1	10	+	71730213	71916529
ENSBTAG00000045329	ENSBTAG00000045329	10	-	71809955	71810032
ENSBTAG00000003371	JAMP	10	+	72005597	72027740
ENSBTAG00000011448	CCDC175	10	-	72027465	72101711
ENSBTAG00000040564	COX7C	10	-	72298985	72299176
ENSBTAG00000014096	PCNXL4	10	+	72577420	72602467
ENSBTAG00000020729	DHRS7	10	-	72617792	72641194
ENSBTAG00000018127	PPM1A	10	+	72757582	72768778
ENSBTAG00000030801	MNAT1	10	+	73153517	73363530
ENSBTAG00000011796	TRMT5	10	-	73369417	73380029
ENSBTAG00000007931	SLC38A6	10	+	73380212	73450167
ENSBTAG00000047000	ENSBTAG00000047000	10	-	73628027	73629463
ENSBTAG00000020935	HIF1A	10	+	74095881	74139364
ENSBTAG00000019784	PPP2R5E	10	-	75953664	76109267
ENSBTAG00000025450	SYNE2	10	+	76362023	76699213
ENSBTAG00000013836	ENSBTAG00000013836	10	-	76820114	76850823
ENSBTAG00000009641	MTHFD1	10	+	76858872	76919406
ENSBTAG00000040551	ZBTB1	10	+	76961607	76979552
ENSBTAG00000001551	PLEKHG3	10	+	77181079	77196975
ENSBTAG00000003469	CHURC1	10	+	77359722	77378295
ENSBTAG00000048112	GPX2	10	-	77381300	77384791
ENSBTAG00000003474	RAB15	10	-	77387906	77408370
ENSBTAG00000005897	FNTB	10	+	77421464	77502096
ENSBTAG00000017994	MAX	10	-	77515539	77541594
ENSBTAG00000019819	FUT8	10	+	77989585	78165236
ENSBTAG00000037625	ENSBTAG00000037625	10	+	78463269	78464048
ENSBTAG00000004171	GPHN	10	+	78906241	79442326
ENSBTAG00000010239	FAM71D	10	+	79451694	79486866
ENSBTAG00000011767	MPP5	10	+	79536643	79579325
ENSBTAG00000016309	ATP6V1D	10	-	79584175	79599910
ENSBTAG00000016311	EIF2S1	10	+	79600115	79620580
ENSBTAG00000018297	PLEKHH1	10	+	79765957	79808955
ENSBTAG00000018299	PIGH	10	-	79811040	79819485
ENSBTAG00000046048	ENSBTAG00000046048	10	-	79815457	79816448
ENSBTAG00000045619	RPL39	10	+	79824702	79824857
ENSBTAG00000001945	ARG2	10	+	80078677	80113797
ENSBTAG00000044420	U6	10	+	80097213	80097322
ENSBTAG00000001948	VTI1B	10	-	80113761	80131964
ENSBTAG00000001950	RDH11	10	-	80135428	80145851
ENSBTAG00000012838	RDH12	10	+	80159084	80167935
ENSBTAG00000014334	ZFYVE26	10	-	80180315	80245861
ENSBTAG00000018971	RAD51B	10	+	80248849	80631540
ENSBTAG00000045041	7SK	10	+	80471342	80471641
ENSBTAG00000025434	ZFP36L1	10	-	80965364	80970846
ENSBTAG00000018255	ACTN1	10	-	81023526	81121590
ENSBTAG00000042854	U6	10	-	81098622	81098728
ENSBTAG00000021225	DCAF5	10	-	81194836	81259609
ENSBTAG00000017798	ERH	10	-	81521060	81533819
ENSBTAG00000029544	U2	10	-	81528971	81529108
ENSBTAG00000017811	SLC39A9	10	+	81533907	81577272
ENSBTAG00000008576	PLEKHD1	10	+	81593974	81624744
ENSBTAG00000011596	SFRS5	10	+	81860044	81865204
ENSBTAG00000030595	COX16	10	+	82412752	82426801
ENSBTAG00000045679	ENSBTAG00000045679	10	+	82557430	82587611
ENSBTAG00000006786	MED6	10	-	82559535	82580232
ENSBTAG00000039950	ENSBTAG00000039950	10	-	82574442	82575288
ENSBTAG00000045604	TTC9	10	+	82634715	82666926
ENSBTAG00000005395	ENSBTAG00000005395	10	+	83185491	83187781
ENSBTAG00000025385	RPL12	10	-	83480588	83481217
ENSBTAG00000015805	SIPA1L1	10	+	83487289	83624610
ENSBTAG00000046952	ENSBTAG00000046952	10	+	84683743	84684195
ENSBTAG00000008713	WDR21A	10	+	84829004	84862800
ENSBTAG00000011041	ZFYVE1	10	-	84869482	84912770
ENSBTAG00000017177	RBM25	10	+	84945765	84993968
ENSBTAG00000011757	PSEN1	10	+	85006250	85073421
ENSBTAG00000011683	NUMB	10	-	85126907	85183835
ENSBTAG00000002842	HEATR4	10	-	85310599	85350659
ENSBTAG00000025372	C14orf169	10	+	85324928	85327431
ENSBTAG00000002843	MGC160092	10	+	85375286	85380533
ENSBTAG00000010270	ENSBTAG00000010270	10	+	85431810	85434976
ENSBTAG00000009783	ENSBTAG00000009783	10	-	85463046	85463552
ENSBTAG00000015930	DNAL1	10	+	85467722	85504542
ENSBTAG00000003747	PTGR2	10	+	85645803	85666323
ENSBTAG00000020327	ZNF410	10	+	85669279	85711371
ENSBTAG00000020329	FAM161B	10	-	85712398	85724992
ENSBTAG00000020331	COQ6	10	+	85725236	85740089
ENSBTAG00000020334	ENTPD5	10	-	85743347	85759039
ENSBTAG00000018467	CCDC176	10	+	85776885	85824898
ENSBTAG00000018469	ALDH6A1	10	-	85821883	85839587
ENSBTAG00000030557	LIN52	10	+	85840140	85952851
ENSBTAG00000014633	ABCD4	10	-	86023730	86039767
ENSBTAG00000021955	NPC2	10	-	86170653	86179237
ENSBTAG00000043732	U2	10	-	86172179	86172364
ENSBTAG00000021956	ISCA2	10	+	86179655	86181404
ENSBTAG00000021957	LTBP2	10	-	86186700	86294121
ENSBTAG00000020379	AREL1	10	-	86341463	86384102
ENSBTAG00000020381	FCF1	10	+	86384169	86394595
ENSBTAG00000008287	YLPM1	10	+	86425791	86479573
ENSBTAG00000008664	EIF2B2	10	+	86654324	86661342
ENSBTAG00000013992	ACYP1	10	-	86702097	86708378
ENSBTAG00000005694	TMED10	10	-	86770121	86802293
ENSBTAG00000004322	FOS	10	+	86883739	86887169
ENSBTAG00000009451	JDP2	10	+	87006443	87051824
ENSBTAG00000040078	ENSBTAG00000040078	10	+	87160747	87200485
ENSBTAG00000045886	STARD4	10	+	87269507	87280022
ENSBTAG00000035662	CAMK4	10	-	87297644	87310943
ENSBTAG00000026909	NCL	10	+	87344476	87346625
ENSBTAG00000005489	WDR36	10	-	87645611	87686661
ENSBTAG00000011987	C10H14ORF1	10	-	87913060	87921648
ENSBTAG00000025403	TTLL5	10	+	87923923	88238514
ENSBTAG00000012005	IFT43	10	+	88272302	88379899
ENSBTAG00000012285	ESRRB	10	+	88763705	88818475
ENSBTAG00000009923	KIAA1737	10	+	89365866	89381540
ENSBTAG00000002704	POMT2	10	-	89544117	89589129
ENSBTAG00000020474	NOXRED1	10	-	89661688	89682505
ENSBTAG00000042489	U6atac	10	+	89677567	89677692
ENSBTAG00000020475	VIPAS39	10	-	89688362	89715193
ENSBTAG00000020477	AHSA1	10	+	89715736	89723188
ENSBTAG00000020480	SPTLC2	10	-	89756991	89852261
ENSBTAG00000008133	ALKBH1	10	-	89891033	89914239
ENSBTAG00000008135	SLIRP	10	+	89914334	89923167
ENSBTAG00000008136	SNW1	10	-	89923193	89958906
ENSBTAG00000043716	U6	10	-	89955226	89955308
ENSBTAG00000040167	ENSBTAG00000040167	10	-	92889961	92890752
ENSBTAG00000047260	ENSBTAG00000047260	10	-	92905710	92936342
ENSBTAG00000021708	CEP128	10	-	93172488	93368739
ENSBTAG00000047322	ENSBTAG00000047322	10	+	93309214	93309822
ENSBTAG00000002900	ENSBTAG00000002900	10	+	99351222	99352544
ENSBTAG00000030453	ZC3H14	10	+	101328886	101364646
ENSBTAG00000013136	EFCAB11	10	-	102666363	102692145
ENSBTAG00000005426	PSMC1	10	+	102920826	102933425
